14, [-0.061606716364622116, -0.11095739901065826, 0.6722500324249268]
15, [-0.003417485859245062, -0.11556809395551682, 0.6525000333786011]
16, [NaN, NaN, NaN]
17, [0.0816880539059639, -0.09666912257671356, 0.721750020980835]
0, [-0.04559088125824928, -0.07563843578100204, 0.627500057220459]
1, [0.0511254221200943, 0.10989628732204437, 0.6662500500679016]
2, [-0.10805731266736984, 0.14165130257606506, 0.7927500605583191]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.20011894404888153, 0.08230157196521759, 0.6095000505447388]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.06048409640789032, -0.10893549025058746, 0.6600000262260437]
15, [-0.003414866980165243, -0.11547952890396118, 0.6520000100135803]
16, [NaN, NaN, NaN]
17, [0.0816880539059639, -0.09666912257671356, 0.721750020980835]
0, [-0.045954152941703796, -0.076241135597229, 0.6325000524520874]
1, [0.051081582903862, 0.11422982811927795, 0.6655000448226929]
2, [-0.10959076136350632, 0.1436614841222763, 0.8040000200271606]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.19981102645397186, 0.08625028282403946, 0.6085000038146973]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.06112559512257576, -0.11009087413549423, 0.6670000553131104]
15, [-0.0070364754647016525, -0.11137910187244415, 0.6535000205039978]
16, [NaN, NaN, NaN]
17, [0.07691624015569687, -0.09965363144874573, 0.7145000100135803]
0, [-0.0459723174571991, -0.07627126574516296, 0.6327500343322754]
